ThinSectID;SampleID;SpecimenShort;SpecimenID;Bone;Locality;Sublocality;Format;MadeBy;Thickness;Genus
TS016;TS016;MgD-I/30;ZPAL MgD-I/030;tibia;Tsagan Khushuu;Tsagan Khushuu;28 x 48 mm;Michał Surowski;Thick (ok 100 microm);Tarbosaurus
TS016-2;TS016;MgD-I/30;ZPAL MgD-I/030;tibia;Tsagan Khushuu;Tsagan Khushuu;28 x 48 mm;Michał Surowski;Very thick (150+ microm);Tarbosaurus
TS017;TS017;MgD-I/30;ZPAL MgD-I/030;tibia;Tsagan Khushuu;Tsagan Khushuu;28 x 48 mm;Michał Surowski;Thick (ok 100 microm);Tarbosaurus
TS018;TS018;MgD-I/30;ZPAL MgD-I/030;tibia;Tsagan Khushuu;Tsagan Khushuu;28 x 48 mm;Michał Surowski;Thick (ok 100 microm);Tarbosaurus
TS019;TS019;MgD-I/30;ZPAL MgD-I/030;tibia;Tsagan Khushuu;Tsagan Khushuu;28 x 48 mm;Michał Surowski;Thick (ok 100 microm);Tarbosaurus
TS029;TS029;MgD-I/4;ZPAL MgD-I/004;femur;Nemegt;Nemegt;28 x 48 mm;Michał Surowski;Very thick (150+ microm);Tarbosaurus
TS030-1;TS030;MgD-I/30;ZPAL MgD-I/030;femur;Tsagan Khushuu;Tsagan Khushuu;28 x 48 mm;Michał Surowski;;Tarbosaurus
TS030-2;TS030;MgD-I/30;ZPAL MgD-I/030;femur;Tsagan Khushuu;Tsagan Khushuu;28 x 48 mm;Michał Surowski;;Tarbosaurus
TF020;TF020;MgD-I/30;ZPAL MgD-I/030;rib;Tsagan Khushuu;Tsagan Khushuu;26 x 76 mm;Krzysztof Owocki;;Tarbosaurus
TF021;TF021;MgD-I/30;ZPAL MgD-I/030;rib;Tsagan Khushuu;Tsagan Khushuu;26 x 76 mm;Krzysztof Owocki;;Tarbosaurus
TF025;TF025;MgD-I/30;ZPAL MgD-I/030;rib;Tsagan Khushuu;Tsagan Khushuu;26 x 76 mm;Krzysztof Owocki;;Tarbosaurus
TF029;TF029;MgD-I/21;ZPAL MgD-I/021;rib;Tsagan Khushuu;Tsagan Khushuu;26 x 76 mm;Krzysztof Owocki;;Tarbosaurus
