;Ca;V;Mn;Fe;Cu;Zn;Ga;Rb;Sr;Y;Ba;La;Ce;Pr;Nd;Sm;Eu;Gd;Tb;Dy;Ho;Er;Tm;Yb;Lu;Hf;Th;U
Altan Uul;0.91888269275769;0.10157202424471774;0.38595324625267774;0.687083889659486;-0.7479230119061834;0.7472562039325283;-0.51817747066345;-0.01372150372442514;-3.152313564137378;-2.0546166902625416;-0.5700387537594412;-0.2790321138960436;0.10366710560986696;-0.009192512726315714;0.008543333972370651;-0.022678397464703463;0.011360374578837918;-0.007566855694336957;0.013348006240668318;0.15718564264671378;0.28937080897836553;1.6924395265994914;-0.032780147983909665;-1.7274931783929761;2.4369015773415494;0.009055441655611507;-0.09922465050838744;1.9038764409838551
Bayan Dzak;-20.327848667511972;-2.3231454137780063;-9.365226531703797;-1.0721320995342414;2.132616934354705;2.375106185807062;5.566864894341872;0.05798741621257352;19.744184870152345;14.753387857380677;6.228618025009338;-2.3970537462896107;-0.13614287521105084;-0.03070663663305177;-0.0033402539970035774;-0.03841001689224111;-0.07464495574442478;-0.021733079378423493;-0.05690460493875424;0.5106214896256921;-2.787751135802061;-4.51340598496177;-0.01227071632339971;1.2801986124968796;-9.707015663801911;0.1466160248047958;0.27959847278051836;-1.5127906162767246
Nemegt;-2.1715755069565024;0.7539691311538351;-0.02681064966555715;-0.7191124326724138;0.36962855976483927;-1.1829287281591117;0.08141125481328576;-0.028630111706419676;3.2466017598838386;0.3402669261541251;0.06260984180895682;0.07569216028154285;-0.01587423272074633;0.001617948981220223;0.0015833397839329383;0.013729966106404173;-0.014756379853166565;0.02503174639935721;-0.017817857425532903;-0.051615565184772866;0.22904142539613603;-1.217825817181831;0.00036020406280760415;-1.8208280715426424;2.7788326426872887;0.03776561081887604;-0.016141739722477087;-0.8912462242638794
Toogreek;4.457196347784986;2.5696970637697882;-8.685927502284231;-4.689512942340726;6.814804337930792;-2.6381589336785956;5.156728039619703;-0.25398806707654714;5.6728975209392445;-11.37293542785488;3.7028534646545768;-0.26633607392168274;0.2807107778124471;-0.2653926889882508;-0.010499258621589229;-0.08543630246539616;-0.18796331080730108;0.08699092537083618;-0.21104132870387898;-0.5935867196806595;2.198572993847915;4.32678061595995;-0.1554237767219449;6.620036629498095;-0.661060189141466;0.3463160379043767;0.5965898381101793;-13.770757229637306
Tsagan Khushuu;8.984439102501936;-1.9849175671508963;2.947015749059002;1.5231853101902582;-1.0056915247740423;1.4907427819146593;-1.3638016494560055;0.12324902004651214;-8.719828057472327;0.6574832166684583;-1.1964804906483582;1.0133255297167512;-0.1603820917793678;0.056506508751548376;-0.018846948609021415;0.028257122722453343;0.06265594780716577;-0.05940428098417967;0.0654469129575922;-0.22525527993347258;-0.7413144185302435;0.6549226047190897;0.08695102311692622;7.17776105786123;-9.733008624337465;-0.2057273902861348;0.08648563558430857;0.9128210092864552
